Keyword,Search_Volume,Competition,Weight
Chinese paper cutting,14000,0.65,4900.0
新中式美学,18200,0.78,4003.9999999999995
非遗文创,15800,0.75,3950.0
中国传统纹样,9600,0.62,3648.0
国潮手作,10800,0.7,3240.0000000000005
非遗新造,11200,0.72,3136.0000000000005
国潮文创伴手礼定制,6100,0.5,3050.0
中式窗花图案设计,7200,0.58,3024.0000000000005
非遗剪纸DIY教程,5400,0.48,2808.0
儿童手工非遗课程,4300,0.36,2752.0
中国剪纸,22000,0.88,2640.0
非遗手工剪纸,6500,0.6,2600.0
国风纹样素材,5100,0.52,2448.0
亲子非遗美育,3800,0.38,2356.0
细纹刻纸,4800,0.55,2160.0
乐清细纹刻纸,3200,0.42,1856.0000000000002
东方镂空工艺,2400,0.32,1631.9999999999998
AIGC刻纸纹样,1900,0.25,1425.0
纹样数字馆,1200,0.28,864.0
乐清细纹刻纸数字文化馆,880,0.2,704.0
